Tempo,Tensao
9.14,0.0000
9.15,0.0000
9.17,0.0244
9.18,4.6188
9.19,4.9853
9.21,0.0000
9.22,0.0000
9.23,0.0000
9.25,0.0000
9.26,4.9316
9.27,4.9951
9.29,0.0000
9.30,0.0000
9.32,0.0000
9.33,4.6139
9.34,0.0000
9.36,0.0000
9.37,0.0000
9.38,0.0000
9.40,0.0000
9.41,4.9707
9.42,0.0000
9.44,0.0000
9.45,0.0000
9.46,0.0000
9.48,0.0000
9.49,0.0000
9.51,0.0000
9.52,0.0000
9.53,0.0049
9.55,0.0000
9.56,0.0000
9.57,0.0000
9.59,0.0000
9.60,0.0000
9.61,0.0000
9.63,0.0000
9.64,0.0000
9.65,0.0000
9.67,0.0000
9.68,0.0000
9.69,0.0000
9.71,0.0000
9.72,0.0000
9.73,0.0000
9.75,0.0000
9.76,0.0000
9.78,0.0000
9.79,0.0000
9.80,0.0000
9.82,0.0000
9.83,0.0000
9.84,0.0000
9.86,0.0000
9.87,0.0000
9.88,0.0000
9.90,0.0000
9.91,0.0000
9.92,0.0000
9.94,0.0000
9.95,0.0000
9.97,0.0000
9.98,0.0000
9.99,0.0000
10.01,0.0000
10.02,0.0000
10.03,0.0000
10.05,0.0000
10.06,0.0000
10.08,0.0000
10.09,0.0000
10.11,0.0000
10.12,0.0000
10.14,0.0000
10.15,0.0000
10.17,0.0000
10.18,0.0000
10.19,0.0000
10.21,0.0000
10.22,0.0000
10.24,0.0000
10.25,0.0000
10.27,0.0000
10.28,0.0000
10.30,0.0000
10.31,0.0000
10.33,0.0000
10.34,0.0000
10.35,0.0000
10.37,0.0000
10.38,0.0000
10.40,4.9658
10.41,4.9853
10.43,0.0000
10.44,0.0000
10.46,0.0000
10.47,4.9169
10.48,4.9804
10.50,0.0000
10.52,0.0000
10.53,0.0000
10.54,4.7556
10.56,0.0000
10.57,0.0000
10.59,0.0000
10.60,4.9756
10.62,0.0000
10.63,0.0000
10.65,0.0000
10.66,0.0147
10.68,0.0000
10.69,0.0000
10.70,0.0000
10.72,0.0000
10.73,0.0000
10.75,0.0000
10.76,0.0000
10.78,0.0000
10.79,0.0000
10.81,0.0049
10.82,0.0000
10.84,0.0000
10.85,0.0000
10.86,0.0000
10.88,0.0000
10.89,0.0000
10.91,0.0000
10.92,0.0000
10.94,0.0147
10.95,0.0000
10.97,0.0000
10.98,0.0000
11.00,0.0000
11.01,0.0000
11.02,0.0000
11.04,0.0000
11.05,0.0000
11.07,0.0000
11.08,0.0000
11.10,0.0000
11.11,0.0000
11.13,0.0000
11.14,0.0000
11.16,0.0000
11.17,0.0147
11.19,0.0000
11.20,0.0000
11.21,0.0000
11.23,0.0000
11.24,0.0000
11.26,0.0000
11.27,0.0000
11.29,0.0000
11.30,0.0000
11.32,0.0000
11.33,0.0000
11.34,0.0000
11.36,0.0000
11.37,0.0000
11.39,0.0000
11.40,0.0000
11.42,0.0000
11.43,0.0000
11.45,0.0000
11.46,0.0000
11.48,0.0000
11.49,0.0000
11.51,0.0000
11.52,0.0000
11.53,0.0000
11.55,4.9169
11.56,4.8729
11.58,4.9756
11.59,0.0000
11.61,0.0000
11.62,0.0000
11.64,4.9218
11.65,0.0000
11.67,0.0000
11.68,0.0000
11.69,0.0000
11.71,0.0000
11.72,0.0000
11.74,0.0000
11.75,4.8387
11.77,0.0000
11.78,0.0000
11.80,0.0000
11.81,0.0000
11.83,0.0000
11.84,0.0000
11.85,0.0000
11.87,0.0000
11.88,0.0000
11.90,0.0000
